symptoms,diagnoses
fever,"flu,cold,malaria,salmonella,smallpox,covid,measles"
chill,"flu,malaria,salmonella,covid"
"fever,chill","flu,malaria,salmonella,covid"
cough,"flu,cold,malaria,covid,measles"
"fever,cough","flu,cold,malaria,covid,measles"
"chill,cough","flu,malaria,covid"
"fever,chill,cough","flu,malaria,covid"
sore,"flu,cold,covid"
"fever,sore","flu,cold,covid"
"chill,sore","flu,covid"
"fever,chill,sore","flu,covid"
"cough,sore","flu,cold,covid"
"fever,cough,sore","flu,cold,covid"
"chill,cough,sore","flu,covid"
"fever,chill,cough,sore","flu,covid"
throat,"flu,cold,covid"
"fever,throat","flu,cold,covid"
"chill,throat","flu,covid"
"fever,chill,throat","flu,covid"
"cough,throat","flu,cold,covid"
"fever,cough,throat","flu,cold,covid"
"chill,cough,throat","flu,covid"
"fever,chill,cough,throat","flu,covid"
"sore,throat","flu,cold,covid"
"fever,sore,throat","flu,cold,covid"
"chill,sore,throat","flu,covid"
"fever,chill,sore,throat","flu,covid"
"cough,sore,throat","flu,cold,covid"
"fever,cough,sore,throat","flu,cold,covid"
"chill,cough,sore,throat","flu,covid"
"fever,chill,cough,sore,throat","flu,covid"
runny,"flu,cold,measles"
"fever,runny","flu,cold,measles"
"chill,runny",flu
"fever,chill,runny",flu
"cough,runny","flu,cold,measles"
"fever,cough,runny","flu,cold,measles"
"chill,cough,runny",flu
"fever,chill,cough,runny",flu
"sore,runny","flu,cold"
"fever,sore,runny","flu,cold"
"chill,sore,runny",flu
"fever,chill,sore,runny",flu
"cough,sore,runny","flu,cold"
"fever,cough,sore,runny","flu,cold"
"chill,cough,sore,runny",flu
"fever,chill,cough,sore,runny",flu
"throat,runny","flu,cold"
"fever,throat,runny","flu,cold"
"chill,throat,runny",flu
"fever,chill,throat,runny",flu
"cough,throat,runny","flu,cold"
"fever,cough,throat,runny","flu,cold"
"chill,cough,throat,runny",flu
"fever,chill,cough,throat,runny",flu
"sore,throat,runny","flu,cold"
"fever,sore,throat,runny","flu,cold"
"chill,sore,throat,runny",flu
"fever,chill,sore,throat,runny",flu
"cough,sore,throat,runny","flu,cold"
"fever,cough,sore,throat,runny","flu,cold"
"chill,cough,sore,throat,runny",flu
"fever,chill,cough,sore,throat,runny",flu
nose,"flu,cold,measles"
